gene_symbols,label,class
ABCA1,1,inner_member
AREG,1,inner_member
ATF3,1,inner_member
ATP2B1,1,inner_member
B4GALT1,1,inner_member
B4GALT5,1,inner_member
BCL2A1,1,inner_member
BCL3,1,inner_member
BCL6,1,inner_member
BHLHE40,1,inner_member
BIRC2,1,inner_member
BIRC3,1,inner_member
BMP2,1,inner_member
BTG1,1,inner_member
BTG2,1,inner_member
BTG3,1,inner_member
CCL2,1,inner_member
CCL20,1,inner_member
CCL4,1,inner_member
CCL5,1,inner_member
CCND1,1,inner_member
CCNL1,1,inner_member
CCRL2,1,inner_member
CD44,1,inner_member
CD69,1,inner_member
CD80,1,inner_member
CD83,1,inner_member
CDKN1A,1,inner_member
CEBPB,1,inner_member
CEBPD,1,inner_member
CFLAR,1,inner_member
CLCF1,1,inner_member
CSF1,1,inner_member
CSF2,1,inner_member
CXCL1,1,inner_member
CXCL10,1,inner_member
CXCL11,1,inner_member
CXCL2,1,inner_member
CXCL3,1,inner_member
CXCL6,1,inner_member
ACKR3,1,inner_member
CCN1,1,inner_member
RIGI,1,inner_member
DENND5A,1,inner_member
DNAJB4,1,inner_member
DRAM1,1,inner_member
DUSP1,1,inner_member
DUSP2,1,inner_member
DUSP4,1,inner_member
DUSP5,1,inner_member
EDN1,1,inner_member
EFNA1,1,inner_member
EGR1,1,inner_member
EGR2,1,inner_member
EGR3,1,inner_member
EHD1,1,inner_member
EIF1,1,inner_member
ETS2,1,inner_member
F2RL1,1,inner_member
F3,1,inner_member
FJX1,1,inner_member
FOS,1,inner_member
FOSB,1,inner_member
FOSL1,1,inner_member
FOSL2,1,inner_member
FUT4,1,inner_member
G0S2,1,inner_member
GADD45A,1,inner_member
GADD45B,1,inner_member
GCH1,1,inner_member
GEM,1,inner_member
GFPT2,1,inner_member
GPR183,1,inner_member
HBEGF,1,inner_member
HES1,1,inner_member
ICAM1,1,inner_member
ICOSLG,1,inner_member
ID2,1,inner_member
IER2,1,inner_member
IER3,1,inner_member
IER5,1,inner_member
IFIH1,1,inner_member
IFIT2,1,inner_member
IFNGR2,1,inner_member
IL12B,1,inner_member
IL15RA,1,inner_member
IL18,1,inner_member
IL1A,1,inner_member
IL1B,1,inner_member
IL23A,1,inner_member
IL6,1,inner_member
IL6ST,1,inner_member
IL7R,1,inner_member
INHBA,1,inner_member
IRF1,1,inner_member
IRS2,1,inner_member
JAG1,1,inner_member
JUN,1,inner_member
JUNB,1,inner_member
KDM6B,1,inner_member
KLF10,1,inner_member
KLF2,1,inner_member
KLF4,1,inner_member
KLF6,1,inner_member
KLF9,1,inner_member
KYNU,1,inner_member
LAMB3,1,inner_member
LDLR,1,inner_member
LIF,1,inner_member
LITAF,1,inner_member
MAFF,1,inner_member
MAP2K3,1,inner_member
MAP3K8,1,inner_member
MARCKS,1,inner_member
MCL1,1,inner_member
MSC,1,inner_member
MXD1,1,inner_member
MYC,1,inner_member
NAMPT,1,inner_member
NFAT5,1,inner_member
NFE2L2,1,inner_member
NFIL3,1,inner_member
NFKB1,1,inner_member
NFKB2,1,inner_member
NFKBIA,1,inner_member
NFKBIE,1,inner_member
NINJ1,1,inner_member
NR4A1,1,inner_member
NR4A2,1,inner_member
NR4A3,1,inner_member
OLR1,1,inner_member
PANX1,1,inner_member
PDE4B,1,inner_member
PDLIM5,1,inner_member
PER1,1,inner_member
PFKFB3,1,inner_member
PHLDA1,1,inner_member
PHLDA2,1,inner_member
PLAU,1,inner_member
PLAUR,1,inner_member
PLEK,1,inner_member
PLK2,1,inner_member
PMEPA1,1,inner_member
PNRC1,1,inner_member
PLPP3,1,inner_member
PPP1R15A,1,inner_member
PTGER4,1,inner_member
PTGS2,1,inner_member
PTPRE,1,inner_member
PTX3,1,inner_member
RCAN1,1,inner_member
REL,1,inner_member
RELA,1,inner_member
RELB,1,inner_member
RHOB,1,inner_member
RIPK2,1,inner_member
RNF19B,1,inner_member
SAT1,1,inner_member
SDC4,1,inner_member
SERPINB2,1,inner_member
SERPINB8,1,inner_member
SERPINE1,1,inner_member
SGK1,1,inner_member
SIK1,1,inner_member
SLC16A6,1,inner_member
SLC2A3,1,inner_member
SLC2A6,1,inner_member
SMAD3,1,inner_member
SNN,1,inner_member
SOCS3,1,inner_member
SOD2,1,inner_member
SPHK1,1,inner_member
SPSB1,1,inner_member
SQSTM1,1,inner_member
STAT5A,1,inner_member
TANK,1,inner_member
TAP1,1,inner_member
TGIF1,1,inner_member
TIPARP,1,inner_member
TLR2,1,inner_member
TNC,1,inner_member
TNF,-1,outer_member
TNFAIP2,1,inner_member
TNFAIP3,1,inner_member
TNFAIP6,1,inner_member
TNFAIP8,1,inner_member
TNFRSF9,1,inner_member
TNFSF9,1,inner_member
TNIP1,1,inner_member
TNIP2,1,inner_member
TRAF1,1,inner_member
TRIB1,1,inner_member
TRIP10,1,inner_member
TSC22D1,1,inner_member
TUBB2A,1,inner_member
VEGFA,1,inner_member
YRDC,1,inner_member
ZBTB10,1,inner_member
ZC3H12A,1,inner_member
ZFP36,1,inner_member
