,gene_ids,label,Class
0,ENSG00000157554,0,n1_central
1,ENSG00000203883,0,n1_central
2,ENSG00000196628,0,n1_central
3,ENSG00000111145,0,n1_central
4,ENSG00000124766,0,n1_central
5,ENSG00000152284,0,n1_central
6,ENSG00000147862,0,n1_central
7,ENSG00000198795,0,n1_central
8,ENSG00000170271,0,n1_central
9,ENSG00000172216,0,n1_central
10,ENSG00000077809,0,n1_central
11,ENSG00000198429,0,n1_central
12,ENSG00000171115,0,n1_central
13,ENSG00000136826,0,n1_central
14,ENSG00000100219,0,n1_central
15,ENSG00000133026,0,n1_central
16,ENSG00000101445,0,n1_central
17,ENSG00000150907,0,n1_central
18,ENSG00000140044,0,n1_central
19,ENSG00000070476,0,n1_central
20,ENSG00000066056,0,n1_central
21,ENSG00000161940,0,n1_central
22,ENSG00000165030,0,n1_central
23,ENSG00000124019,0,n1_central
24,ENSG00000182568,0,n1_central
25,ENSG00000173276,0,n1_central
26,ENSG00000164125,0,n1_central
27,ENSG00000175130,0,n1_central
28,ENSG00000175395,0,n1_central
29,ENSG00000018408,0,n1_central
30,ENSG00000071246,0,n1_central
31,ENSG00000134013,0,n1_central
32,ENSG00000110851,0,n1_central
33,ENSG00000141027,0,n1_central
34,ENSG00000197063,0,n1_central
35,ENSG00000178860,0,n1_central
36,ENSG00000157570,0,n1_central
37,ENSG00000165156,0,n1_central
38,ENSG00000101057,0,n1_central
39,ENSG00000143390,0,n1_central
40,ENSG00000123106,0,n1_central
41,ENSG00000125945,0,n1_central
42,ENSG00000169291,0,n1_central
43,ENSG00000070614,0,n1_central
44,ENSG00000196247,0,n1_central
45,ENSG00000197372,0,n1_central
46,ENSG00000118407,0,n1_central
47,ENSG00000129173,0,n1_central
48,ENSG00000128833,0,n1_central
49,ENSG00000101871,0,n1_central
50,ENSG00000185630,0,n1_central
51,ENSG00000170540,0,n1_central
52,ENSG00000100596,0,n1_central
53,ENSG00000178150,0,n1_central
54,ENSG00000109917,0,n1_central
55,ENSG00000173801,0,n1_central
56,ENSG00000180884,0,n1_central
57,ENSG00000198380,0,n1_central
58,ENSG00000177888,0,n1_central
59,ENSG00000151881,0,n1_central
60,ENSG00000198176,0,n1_central
61,ENSG00000003400,0,n1_central
62,ENSG00000113916,0,n1_central
63,ENSG00000102572,0,n1_central
64,ENSG00000138641,0,n1_central
65,ENSG00000147010,0,n1_central
66,ENSG00000143079,0,n1_central
67,ENSG00000008311,0,n1_central
68,ENSG00000136770,0,n1_central
69,ENSG00000129422,0,n1_central
70,ENSG00000151702,0,n1_central
71,ENSG00000173039,0,n1_central
72,ENSG00000104903,0,n1_central
73,ENSG00000174059,0,n1_central
74,ENSG00000158555,0,n1_central
75,ENSG00000124191,0,n1_central
76,ENSG00000179776,0,n1_central
77,ENSG00000152804,0,n1_central
78,ENSG00000068305,0,n1_central
79,ENSG00000145604,0,n1_central
80,ENSG00000164023,0,n1_central
81,ENSG00000154016,0,n1_central
82,ENSG00000140382,0,n1_central
83,ENSG00000160844,0,n1_central
84,ENSG00000167861,0,n1_central
85,ENSG00000085276,0,n1_central
86,ENSG00000171056,0,n1_central
87,ENSG00000196305,0,n1_central
88,ENSG00000065802,0,n1_central
89,ENSG00000197044,0,n1_central
90,ENSG00000139613,0,n1_central
91,ENSG00000167232,0,n1_central
92,ENSG00000133574,0,n1_central
93,ENSG00000213203,0,n1_central
94,ENSG00000141644,0,n1_central
95,ENSG00000129675,0,n1_central
96,ENSG00000137509,0,n1_central
97,ENSG00000169744,0,n1_central
98,ENSG00000164976,0,n1_central
99,ENSG00000151612,0,n1_central
100,ENSG00000146143,1,n1_peripheral
101,ENSG00000165240,1,n1_peripheral
102,ENSG00000135655,1,n1_peripheral
103,ENSG00000198018,1,n1_peripheral
104,ENSG00000185345,1,n1_peripheral
105,ENSG00000186088,1,n1_peripheral
106,ENSG00000145907,1,n1_peripheral
107,ENSG00000109689,1,n1_peripheral
108,ENSG00000100239,1,n1_peripheral
109,ENSG00000158717,1,n1_peripheral
110,ENSG00000103742,1,n1_peripheral
111,ENSG00000165271,1,n1_peripheral
112,ENSG00000181029,1,n1_peripheral
113,ENSG00000138459,1,n1_peripheral
114,ENSG00000197415,1,n1_peripheral
115,ENSG00000100568,1,n1_peripheral
116,ENSG00000109819,1,n1_peripheral
117,ENSG00000132507,1,n1_peripheral
118,ENSG00000133121,1,n1_peripheral
119,ENSG00000106603,1,n1_peripheral
120,ENSG00000188958,1,n1_peripheral
121,ENSG00000077420,1,n1_peripheral
122,ENSG00000158792,1,n1_peripheral
123,ENSG00000165487,1,n1_peripheral
124,ENSG00000177951,1,n1_peripheral
125,ENSG00000187554,1,n1_peripheral
126,ENSG00000205758,1,n1_peripheral
127,ENSG00000188917,1,n1_peripheral
128,ENSG00000076513,1,n1_peripheral
129,ENSG00000170270,1,n1_peripheral
130,ENSG00000101220,1,n1_peripheral
131,ENSG00000153140,1,n1_peripheral
132,ENSG00000064205,1,n1_peripheral
133,ENSG00000142089,1,n1_peripheral
134,ENSG00000177335,1,n1_peripheral
135,ENSG00000166436,1,n1_peripheral
